2026-02-06T06:47:13.0643974Z | Correlation=816b8f13c74544fba2bb14c08a2f4e6f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:13.0696510Z | Correlation=abf2a5de4a2c440fac2655f036420ebe | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:13.1209085Z | Correlation=abf2a5de4a2c440fac2655f036420ebe | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:13.1251819Z | Correlation=839a6a9bb3db4a0d870a258e5302bfa6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:13.1710837Z | Correlation=839a6a9bb3db4a0d870a258e5302bfa6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:17.0628134Z | Correlation=901e07d08eb44084a01465edd63e8ef3 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:17.1478591Z | Correlation=901e07d08eb44084a01465edd63e8ef3 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:17.1600609Z | Correlation=ea0da39ff73c40f4b191ecf8b6dac7e4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:17.2128530Z | Correlation=ea0da39ff73c40f4b191ecf8b6dac7e4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:17.2236991Z | Correlation=c4947b103f3e45c3bd30c3f6a6d8053b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:17.2736604Z | Correlation=c4947b103f3e45c3bd30c3f6a6d8053b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:21.8848129Z | Correlation=5f00647001424108a7af1d122a4c1b5d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:21.9277231Z | Correlation=5f00647001424108a7af1d122a4c1b5d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:21.9315877Z | Correlation=efab6e8b3a5f402eaea0c08515485a72 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:22.0337134Z | Correlation=efab6e8b3a5f402eaea0c08515485a72 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:22.0381495Z | Correlation=497da24c4b58424fbbbc622cc2c91112 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:22.0899199Z | Correlation=497da24c4b58424fbbbc622cc2c91112 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:25.9589395Z | Correlation=163c7b908a60492a925f85f79967297f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:26.0147916Z | Correlation=163c7b908a60492a925f85f79967297f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:26.0190353Z | Correlation=5e8f42b0864148d4a0c6948abd09bb3b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:26.0672299Z | Correlation=5e8f42b0864148d4a0c6948abd09bb3b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:26.0716228Z | Correlation=ef7e0cdeeca143849c2deb53716f02d2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:26.1094534Z | Correlation=ef7e0cdeeca143849c2deb53716f02d2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:32.5568895Z | Correlation=10ff296860b64b31b87c7360d0e72609 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:32.5910192Z | Correlation=10ff296860b64b31b87c7360d0e72609 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message delivered
