2026-02-06T06:47:18.1398327Z | Correlation=586102c28a014c49b9168d00d8007337 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:18.1443563Z | Correlation=013e1a0193a74af5bc83f59099a07613 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:18.1665433Z | Correlation=013e1a0193a74af5bc83f59099a07613 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:18.1706937Z | Correlation=7a6bd84f2aee4652aae89a691d23f3cb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:18.1896520Z | Correlation=7a6bd84f2aee4652aae89a691d23f3cb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:18.1939794Z | Correlation=839a6a9bb3db4a0d870a258e5302bfa6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:18.2097812Z | Correlation=839a6a9bb3db4a0d870a258e5302bfa6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:18.2150049Z | Correlation=ea0da39ff73c40f4b191ecf8b6dac7e4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:18.2615266Z | Correlation=ea0da39ff73c40f4b191ecf8b6dac7e4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:22.1632456Z | Correlation=5f00647001424108a7af1d122a4c1b5d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:22.1781568Z | Correlation=5f00647001424108a7af1d122a4c1b5d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:22.1824026Z | Correlation=efab6e8b3a5f402eaea0c08515485a72 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
