2026-02-05T09:09:45.4276277Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:09:55.5732298Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:09:55.6299941Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:09:59.6220192Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:09:59.6718658Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:10.1124965Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:10.7406432Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:32.4525821Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:32.5209596Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:37.0732775Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:37.3279456Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:42.6443143Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:42.7700027Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:47.1767777Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:47.2033025Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:10:55.7331312Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:10:55.7951872Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Telemetry processed successfully
