2026-02-05T09:09:36.8090073Z | Correlation=33514caa419f40769d802e73545f1a91 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:37.0912673Z | Correlation=33514caa419f40769d802e73545f1a91 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:09:41.8632370Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:41.8699514Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:42.1563845Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:09:45.3920381Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:45.3988212Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:45.6666731Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:09:55.5718078Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:55.5829948Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:55.8906466Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Audit stored successfully
