2026-02-16T11:12:11.4964246Z | Correlation=34eb41c9142c47678cb97ac8468acecc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:11.6222600Z | Correlation=34eb41c9142c47678cb97ac8468acecc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=858 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:16.3578749Z | Correlation=7ab30744cf41471fa403efdb3c4728a2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:16.5210185Z | Correlation=7ab30744cf41471fa403efdb3c4728a2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=859 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:19.6595015Z | Correlation=f438986cc1324e8194af5cc68b828f85 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:19.7270637Z | Correlation=f438986cc1324e8194af5cc68b828f85 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=860 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:25.0782865Z | Correlation=2badb8bc888b42d99787d1c6262906f2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:25.1227394Z | Correlation=2badb8bc888b42d99787d1c6262906f2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=861 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:31.0505569Z | Correlation=adfc83e7b5c644adb3b52d61d3901b39 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:31.0843233Z | Correlation=adfc83e7b5c644adb3b52d61d3901b39 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=862 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:34.8688162Z | Correlation=342b16c9f73343a9bfb737083c91f296 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:34.9126005Z | Correlation=342b16c9f73343a9bfb737083c91f296 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=863 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:38.7775105Z | Correlation=e0c7b7e9c08342c2a2cc3503d261ce79 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:38.8119149Z | Correlation=e0c7b7e9c08342c2a2cc3503d261ce79 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=864 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:45.6776812Z | Correlation=93847ddbc76c49b5850ddab1ebf2f90e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:45.7760823Z | Correlation=93847ddbc76c49b5850ddab1ebf2f90e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=865 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:12:51.1764829Z | Correlation=dd5d7e393fc443b9baa28f05acdfbaf6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:12:51.2120595Z | Correlation=dd5d7e393fc443b9baa28f05acdfbaf6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=866 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:02.9937536Z | Correlation=9b8b1c1a3a7e4c32b6f2189f8fa02e26 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:03.0373422Z | Correlation=9b8b1c1a3a7e4c32b6f2189f8fa02e26 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=867 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:08.7881821Z | Correlation=511d5deaad1947758e61e4f8a96ebece | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:08.8278244Z | Correlation=511d5deaad1947758e61e4f8a96ebece | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=868 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:12.7550943Z | Correlation=03fb312b75e44e0b9328180621a76733 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:12.7984577Z | Correlation=03fb312b75e44e0b9328180621a76733 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=869 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:17.9804910Z | Correlation=f48fd78967ce40afadbf1eeeeefef05e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:18.0196323Z | Correlation=f48fd78967ce40afadbf1eeeeefef05e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=870 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:23.2777897Z | Correlation=ed66c337b04d46899ff19e07a26d75b4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
