2026-02-10T09:13:09.6399485Z | Correlation=083045cb-0d98-42d2-9ecd-d7243a54201b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T09:44:56.9496105Z | Correlation=ec475a4d588545a8a71ddd16e0e0acfb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T09:46:31.6523926Z | Correlation=46ee0ba9-7b95-4223-8505-c0efef59eccd | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T09:49:52.2918379Z | Correlation=b3b8fae25d1c4d6c969d32c7ebfc9581 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T09:51:18.6264986Z | Correlation=1711cfa5-6033-42df-9878-ece5a1145f1d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:29:08.3230712Z | Correlation=77f42001309147eb838c998720f98df7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:30:23.0462234Z | Correlation=b8a64217-02ae-4936-a744-8211b4f15783 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:43:29.4784764Z | Correlation=39e85d5a-d3e3-4b09-bf1d-ce31068db2b8 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:43:52.6580246Z | Correlation=77f42001309147eb838c998720f98df7 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-10T10:46:42.7297556Z | Correlation=32d4ec56eaa5489b8523839225fda7a5 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:46:43.0630672Z | Correlation=32d4ec56eaa5489b8523839225fda7a5 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:46:45.5868656Z | Correlation=dab6643261b14d15a4b93e4bb96667e9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:46:45.6277082Z | Correlation=dab6643261b14d15a4b93e4bb96667e9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:46:49.7627094Z | Correlation=12afe22f9b1d40a9abd0547a8a33f629 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:46:49.8206065Z | Correlation=12afe22f9b1d40a9abd0547a8a33f629 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:46:53.9801456Z | Correlation=7a2d5d358f3d4d188752277f52d39afb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:46:54.0601590Z | Correlation=7a2d5d358f3d4d188752277f52d39afb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:46:58.4291560Z | Correlation=b05d32a720a742c4b415c495455fca51 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:46:58.4626491Z | Correlation=b05d32a720a742c4b415c495455fca51 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:02.6136891Z | Correlation=bf39c776fa434e4598b6a61a92c81948 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:02.6553987Z | Correlation=bf39c776fa434e4598b6a61a92c81948 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:06.7562260Z | Correlation=bcfbe29b0b0447c597f7af67cc92e227 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:06.7908111Z | Correlation=bcfbe29b0b0447c597f7af67cc92e227 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:10.8747185Z | Correlation=5a380ae6e9e54fc2948d154293940b5d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:10.9431113Z | Correlation=5a380ae6e9e54fc2948d154293940b5d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:15.0473317Z | Correlation=77fb74b256f8441493a7d002cbf39bfe | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:15.1222160Z | Correlation=77fb74b256f8441493a7d002cbf39bfe | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message delivered
